property_type,property_address,property_price,property_extras,property_image,property_details_link,last_updated_at_UTC
"2 bed flat, Newcastle Upon Tyne","6 Osborne Road, Newcastle Upon Tyne, Newcastle, NE2 2AA",From £110 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto-live.s3.amazonaws.com/4d5fcTSkJ6bJCY3ezfjkYeuMjNo/duFNKxKN7JG24hGWqppoA5Lt7Yc/Photo/[3]/MQLWeQKATE-ZXUdbu9T2ow.jpg",https://www.accommodationforstudents.com/property/AGT22834_31079763,08-Dec-2021 18:58:18
"2 bed house, Plymouth","Sutherland Road, Plymouth, Plymouth, PL4 6BW",From £130 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/36851/31032557/image/s2/637700285983944976/3dbadcb2d81c060d4669a6e022ed56b7f63a5009.jpg",https://www.accommodationforstudents.com/property/AGT36851_31032557,08-Dec-2021 18:58:18
"2 bed flat, Swansea","Uplands, Swansea, Swansea, SA1 4QH",From £214 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3.eu-west-2.amazonaws.com/media.estateagentfeeds.com/properties/media/xl/39e1ee8f32b74df28648aae3730e1852_0.jpg",https://www.accommodationforstudents.com/property/AGT96828_552,08-Dec-2021 18:58:18
"2 bed flat, Swansea","Brynmill, Swansea, Swansea, SA2 0BU",From £228 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3.eu-west-2.amazonaws.com/media.estateagentfeeds.com/properties/media/xl/2a43fdd843d160c5926c11b2b32651e4_0.jpg",https://www.accommodationforstudents.com/property/AGT96828_537,08-Dec-2021 18:58:18
"2 bed flat, Swansea","Brynmill, Swansea, Swansea, SA2 0BU",From £214 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://s3.eu-west-2.amazonaws.com/media.estateagentfeeds.com/properties/media/xl/f8e78dc07f095ddfd4fd9cbf51bca1eb_0.jpg",https://www.accommodationforstudents.com/property/AGT96828_540,08-Dec-2021 18:58:18
"2 bed flat, Plymouth","Mayflower Street, Plymouth, Plymouth, PL1 1SD",From £145 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/MQ3YN3_RqUmevarpXwvDAQ.jpg",https://www.accommodationforstudents.com/property/AGT89674_31037675,08-Dec-2021 18:58:18
"2 bed flat, Plymouth","119 Mayflower Street, Plymouth, Plymouth, PL1 1SD",From £139 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/Fz6S-ddl6EC57Q7xpAiZDQ.jpg",https://www.accommodationforstudents.com/property/AGT89674_31041870,08-Dec-2021 18:58:18
"2 bed house, Shelton","Watford Street, Shelton, Stoke, ST42EW",From £99 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A50453752-86ec-4ed6-850d-588d6cf7a5c9/9-1637329861415.jpg",https://www.accommodationforstudents.com/property/255191,08-Dec-2021 18:58:18
"2 bed house, Shelton","Conway Street, Shelton, Stoke, ST42BL",From £99 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A50453752-86ec-4ed6-850d-588d6cf7a5c9/0-1638185453643.png",https://www.accommodationforstudents.com/property/255215,08-Dec-2021 18:58:18
"2 bed flat, Leeds","Harold Place, Leeds, Leeds, LS6 1PQ",From £180 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://www.parklaneproperties.com/assets/properties/9076/742ad0cb4548408053bde404a00ff297.jpg",https://www.accommodationforstudents.com/property/AGT30003_9076,08-Dec-2021 18:58:18
