property_type,property_address,property_price,property_extras,property_image,property_details_link,last_updated_at_UTC
"4 bed house, Crookesmoor","Crookesmoor road, Crookesmoor, Sheffield, S101BE",From £90 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Abe23e27a-e6f6-439b-aff6-2c8217e04912/0-1603109572789.JPG",https://www.accommodationforstudents.com/property/39461,23-Oct-2021 19:59:56
"4 bed house, Bournemouth","Winton, Bournemouth, Bournemouth, BH9 1QB",From £96 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://estateagentfeeds.com/properties/media/xl/f8a4c7893a5002d471308c5598d036f0_0.jpg",https://www.accommodationforstudents.com/property/AGT70850_6908,23-Oct-2021 19:59:56
"4 bed house, Plymouth","Seymour Avenue, Plymouth, Plymouth, PL4 8RA",From £90 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://alto2-live.s3.amazonaws.com/iCCl6Y2IcLgkAThBQmPQRGdEmq0/h5IJIcdwtU1i-VU2Raf8V54amn8/Photo/[3]/c4_vo9n3rkOsTJKdsKdL5A.jpg",https://www.accommodationforstudents.com/property/AGT89674_31041971,23-Oct-2021 19:59:56
"4 bed house, University Of Portsmouth","Playfair Road, University of Portsmouth, Portsmouth, PO51EQ",From £90 pw,Some bills inc,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A1f81aa3c-af2c-4a83-868f-2f5a1b47dd2d/0-1631175409681.jpg",https://www.accommodationforstudents.com/property/93200,23-Oct-2021 19:59:56
"4 bed flat, South Yorkshire","Montgomery Place, South Yorkshire, Sheffield, S6 3BW",From £79 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://mafproperties.10ninety.co.uk/PortalExports/DisplayImage/516?at=636313140940000000",https://www.accommodationforstudents.com/property/AGT18284_RL0078a,23-Oct-2021 19:59:56
"4 bed flat, South Yorkshire","Lion Works, South Yorkshire, Sheffield, S1 4RE",From £99 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://mafproperties.10ninety.co.uk/PortalExports/DisplayImage/491?at=636313135410000000",https://www.accommodationforstudents.com/property/AGT18284_RL0075a,23-Oct-2021 19:59:56
"4 bed flat, South Yorkshire","121 Fitzwilliam Street, South Yorkshire, Sheffield, S1 4JP",From £105 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://mafproperties.10ninety.co.uk/PortalExports/DisplayImage/266?at=636295897350000000",https://www.accommodationforstudents.com/property/AGT18284_RL0043,23-Oct-2021 19:59:56
"4 bed house, Near University","Near MEDIA building, Near university, Preston, PR18SP",From £99 pw,Bills included,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A8aa9172f-1590-4d68-b777-231da2b48f65/0-1634744543076.jpg",https://www.accommodationforstudents.com/property/91733,23-Oct-2021 19:59:56
"4 bed house, Norwich","Fairfax Road, Norwich, Norwich, NR4 7EZ",From £105 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://media2.jupix.co.uk/v3/clients/3107/properties/1424/IMG_1424_1_large.jpg",https://www.accommodationforstudents.com/property/AGT11281_10310700142410250,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Dogfield Street, Cardiff, Cardiff, CF24 4QN",From £87 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31040833/image/s2/637703239914626103/80516a18f3de3d4377b8331eb9ec74427c704697.jpg",https://www.accommodationforstudents.com/property/AGT29420_31040833,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Tewkesbury Street, Cardiff, Cardiff, CF24 4QT",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31040843/image/s2/637703241317207840/fee2a30632048419648115086e3b587c36448b9e.jpg",https://www.accommodationforstudents.com/property/AGT29420_31040843,23-Oct-2021 19:59:56
"4 bed flat, Cardiff","Salisbury Road, Cardiff, Cardiff, CF24 4AE",From £87 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31040520/image/s2/637703211202221041/050a5310259264fbe10a81108fb1b3eb6f49e01c.jpg",https://www.accommodationforstudents.com/property/AGT29420_31040520,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Talworth Street, Cardiff, Cardiff, CF24 3EJ",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31040814/image/s2/637703364588732304/7ca5bc05d85e54a9d45d3e3540ef9b82188a33e5.jpg",https://www.accommodationforstudents.com/property/AGT29420_31040814,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Florentia Street, Cardiff, Cardiff, CF24 4PE",From £79 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31040651/image/s2/637703222750028372/4b061042d61b35642f2b3faab0f39c10fac5ac32.jpg",https://www.accommodationforstudents.com/property/AGT29420_31040651,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Gelligaer Street, Cardiff, Cardiff, CF24 4LB",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31040592/image/s2/637703219536406416/69363638942d66b0841e03443bc88576d099dcac.jpg",https://www.accommodationforstudents.com/property/AGT29420_31040592,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Diana Street, Cardiff, Cardiff, CF24 4TW",From £83 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31040798/image/s2/637703235695443698/07572893536d75d3c08cc3893b662e10b3fc40da.jpg",https://www.accommodationforstudents.com/property/AGT29420_31040798,23-Oct-2021 19:59:56
